,6,,Brunnur á móti Steinavör,B-6-1,
HF,6,1,Heimæðar Steinavör öll hús,,í grasi
HB,6,2,Bakrennsli Steinavör (ekki í húsunum),,
HF,6,3,Heimæðar Hrólfsskálavör 2-14 /1-5,,í götu
HB,6,4,Heimæðar Hrólfsskálavör 2-14 /1-5,,
HB,6,5,Bakrennsli í Suðurströnd á móti World Class,,sýndur í tölvu
HF,6,6,Stofn frá Suðurströnd í Selbraut / Nesveg,,í stíg
HF,6,7,Stofnlokar fyrir Selbraut,,í stíg
HB,6,8,Stofn fyrir bakrennsli frá Hrólfsskálamel,,í stíg
HF,6,9,Stofn í Sæbraut,B-6-2,
HF,6,10,Heimæðar Selbraut 1-17 / 2-44; Sólbraut 18; Mánabrekka,B-6-2,
HF,6,11,Heimæðar Sólbraut 1-19 / 2-16,B-6-2,
HF,6,12,Heimæðar Sólbrekka,B-6-2,
HF,6,13,"Heimæð Selbraut 70-76, Sæbraut 20",B-6-2,
HF,6,14,Heimæð Selbraut 78-84 / Sæbraut 21,B-6-3,
HF,6,15,Heimæð Sæbraut 21,B-6-3,
HF,6,16,Heimæð Selbraut 78,B-6-3,
HF,6,17,Stofn Sæbraut við nr.15 að Skerjabraut,,
HF,6,18,Heimæðar Sæbraut 9 / 13-15 / 10-18 (loki við nr.15),,ekki nr.11
HF,6,19,Heimæðar Selbraut við Skerjabraut,,
HF,6,20,Heimæðar Mánabrekka,,
HB,7,1,Loki Austurströnd 0 upp Kirkjubraut,,
HB,7,2,Loki Austurströnd 0 frá Austurströnd,,
HB,7,3,Loki Austurströnd 0 frá Suðurmýri,,
HF,7,4,Stofn frá Suðurströnd að Kirkjubraut,B-7-1,
HF,7,5,Heimæðar Austurströnd 1-3,,einfalt
HB,7,,Heimæðar Austurströnd 2-6,,
HB,7,6,Heimæðar Austurströnd 8-10,,
HF,7,,Heimæðar Austurströnd 5,,einfalt
HF,7,7,Stofn frá Suðurströnd að Kirkjubraut,B-7-2,
HB,7,8,Heimæð Austurströnd 12-14,B-7-2,
HF,7,9,Heimæð Austurströnd 5,B-7-2,einfalt
HF,7,10,Stofn frá Suðurströnd frá brunni B-1-7,B-7-3,
HF,7,11,Stofn að Austurströnd og Eiðismýri 13-15 ?,B-7-3,
HF,7,12,Stofn niður Nesveg,,
HF,7,13,Heimæð að Eiðistorgi 1-9 og bílageymslu,,
HF,7,14,Heimæð í bílageymslu Eiðistorgi 1-9,B-7-4,
HF,7,15,Stofn frá Suðurströnd í lögn í Nesvegi,,
HB,7,16,Bakrennsli Suðurströnd í lögn í Nesvegi,,
HF,8,1,Heimæð Suðurmýri 36-42,,einfalt
HF,8,2,Heimæð Suðurmýri 44-46,,einfalt
HF,8,3,Stofn frá Skerjabraut,B-8-1,
HF,8,4,Stofn frá Suðurströnd (lokar fyrir alla mýrina),B-8-1,
HB,8,5,Bakrennsli að Austurströnd (lokar fyrir alla mýrina),B-8-1,
HF,8,6,Heimæð Suðurmýri 30-34,B-8-1,einfalt
HB,8,7,Heimæðar Kolbeinsmýri; Eiðismýri; Tjarnarmýri,,
HF,8,8,Heimæðar Kolbeinsmýri; Eiðismýri; Tjarnarmýri,,
HB,8,9,Heimæðar Kolbeinsmýri 2-10,,
HF,8,10,Heimæðar Kolbeinsmýri 2-10,,
HB,8,11,Heimæðar Eiðismýri 13-15 / 30,,
HF,8,12,Heimæðar Eiðismýri 13-15 / 30,,
HB,8,13,Heimæðar Kolbeinsmýri 1-11 / 12-14,,
HF,8,14,Heimæðar Kolbeinsmýri 1-11 / 12-14,,
HB,8,15,Heimæðar Suðurmýri 18-28,,
HF,8,16,Heimæðar Suðurmýri 18-28,,
HB,8,17,Heimæðar Eiðismýri 1-11,,
HF,8,18,Heimæðar Eiðismýri 1-11,,
HB,8,19,Heimæðar Tjarnarmýri 1-7/ 6-8,,
HF,8,20,Heimæðar Tjarnarmýri 1-7/ 6-8,,
HB,8,21,Stofn Suðurströnd - Grænamýri,,Blómvellir
HF,8,22,Stofn Suðurströnd - Grænamýri,,Blómvellir
HB,8,23,Stofn frá Eiðismýri,B-8-2,
HF,8,24,Stofn frá Eiðismýri,B-8-2,
HB,8,25,Stofn að Grænamýri,B-8-2,
HF,8,26,Stofn að Grænamýri,B-8-2,
HB,8,27,Heimæðar Tjarnarmýri 10-18,B-8-2,
HF,8,28,Heimæðar Tjarnarmýri 10-18,B-8-2,
HB,8,29,Heimæðar Tjarnarmýri 9-15 / Eiðismýri 2-20,B-8-2,
HF,8,30,Heimæðar Tjarnarmýri 9-15 / Eiðismýri 2-20,B-8-2,
HB,8,31,Heimæðar Tjarnarmýri 17-33,,
HF,8,32,Heimæðar Tjarnarmýri 17-33,,
HB,8,33,Stofn frá Suðurströnd - Tjarnarmýri,,
HF,8,34,Stofn frá Suðurströnd - Tjarnarmýri,,
HF,8,35,Heimæð Grænamýri 14-28,,einfalt
HF,8,36,Heimæð Grænamýri 14-28,,einfalt
HF,9,1,ath heimæð fyrir Hamarsgötu 2-6,B-9-3,
HF,9,2,heimæð Lambastaðabraut 3-7 / 2-8; Hamaragata 8; Skerjabraut 9,B-9-2,
HF,9,3,Stofn frá Sæbraut,B-9-1,
HF,9,4,Heimæð Sólbraut 1-19 / 2-16,B-9-1,
HF,9,5,Stofn að Nesvegi,B-9-1,
HF,9,6,Stofn frá Skerjabraut í Tjarnarstíg / Lambastaðabraut 10-14 /,,
,,,9-15 Tjarnarstíg - Nesveg,,
HF,9,7,Stofn að Selbraut og Suðurmýri í brunn B-8-1,,
HF,9,8,Heimæðar Skerjabraut 1-3,,
HF,9,9,Stofn Skerjabraut að Suðurmýri í brunn B-8-1,,
HB,9,10,Heimæð bakrennsli Skerjabraut 1-3,,
HB,9,11,Stofn bakrennsli með Nesvegi í blokkir,,
HF,9,12,Heimæðar Lambastaðabraut 9-15 / 10-14 Tjarnarstíg 1 og 2,,
HF,9,13,Heimæðar Lambastaðabraut 3-13 / 4-14,,
HF,9,14,Heimæðar Tjarnarból 2-4 (við Nesveg),,
HS,9,15,Sandfang Nesveg við Tjarnarstíg,,
HF,9,16,Heimæðar Tjarnarstíg 16-30 (við Nesveg),,
HF,9,17,Heimæðar Nesvegur 101-125 / 100-104,,
